# Roster overrides for 2026 projections (auto-generated + manual edits)
# Edit this file to reflect trades, cuts, signings, and retirements.
# Columns: player_name, team, position, status
#   status: ACT = active, TRADE = moved teams, CUT = released, RET = retired
# Lines starting with # are ignored. Re-run update_rosters.py to refresh.
player_name,team,position,status
Bucky Irving,TB,RB,ACT
C.J. Ham,MIN,RB,ACT
Cam Akers,SEA,RB,ACT
Cam Skattebo,NYG,RB,RES
Carlos Washington,ATL,RB,DEV
Carson Steele,KC,RB,DEV
Chase Brown,CIN,RB,ACT
Chase Edmonds,WAS,RB,INA
Chris Brooks,GB,RB,ACT
Chris Collier,LV,RB,DEV
Chris Rodriguez Jr.,WAS,RB,ACT
Christian McCaffrey,SF,RB,ACT
Chuba Hubbard,CAR,RB,ACT
Clyde Edwards-Helaire,KC,RB,DEV
Cody Schrader,DEN,RB,DEV
Corey Kiner,ARI,RB,ACT
Craig Reynolds,NE,RB,DEV
D'Andre Swift,CHI,RB,ACT
D'Ernest Johnson,NE,RB,ACT
DJ Giddens,IND,RB,ACT
Dameon Pierce,KC,RB,ACT
Damien Martinez,GB,RB,DEV
Dante Miller,NYG,RB,INA
Dare Ogunbowale,HOU,RB,ACT
Darrynton Evans,BUF,RB,CUT
David Montgomery,DET,RB,ACT
De'Von Achane,MIA,RB,INA
DeeJay Dallas,JAX,RB,INA
Deion Hankins,CHI,RB,RES
Demetric Felton,WAS,RB,CUT
Deneric Prince,NE,RB,RES
Deon Jackson,DET,RB,CUT
Derrick Henry,BAL,RB,ACT
Deuce Vaughn,DEN,RB,DEV
Devin Neal,NO,RB,RES
Devin Singletary,NYG,RB,ACT
Donovan Edwards,MIA,RB,ACT
Dylan Laube,LV,RB,ACT
Dylan Sampson,CLE,RB,ACT
Elijah Dotson,ATL,RB,CUT
Elijah Mitchell,NE,RB,CUT
Elijah Young,BUF,RB,CUT
Emani Bailey,CAR,RB,CUT
Emanuel Wilson,GB,RB,ACT
Emari Demercado,ARI,RB,ACT
Eric Gray,NYG,RB,ACT
Evan Hull,NO,RB,ACT
Frank Gore Jr.,BUF,RB,ACT
Gary Brightwell,CIN,RB,DEV
George Holani,SEA,RB,ACT
Hassan Haskins,LAC,RB,ACT
Hunter Luepke,DAL,RB,ACT
Ian Wheeler,NO,RB,CUT
Isaac Guerendo,SF,RB,INA
Isaiah Davis,NYJ,RB,RES
Isiah Pacheco,KC,RB,INA
Israel Abanikanda,DAL,RB,DEV
J.K. Dobbins,DEN,RB,RES
Ja'Quinden Jackson,JAX,RB,DEV
JaMycal Hasty,MIA,RB,DEV
Jabari Small,DET,RB,DEV
Jacardia Wright,SEA,RB,DEV
Jack Westover,NE,RB,ACT
Jacob Saylors,DET,RB,ACT
Jacory Croskey-Merritt,WAS,RB,ACT
Jahmyr Gibbs,DET,RB,ACT
Jakob Johnson,HOU,RB,DEV
Jaleel McLaughlin,DEN,RB,ACT
James Conner,ARI,RB,RES
James Cook,BUF,RB,ACT
Jaret Patterson,LAC,RB,ACT
Jarquez Hunter,LA,RB,INA
Jarveon Howard,BUF,RB,CUT
Jase McClellan,TB,RB,CUT
Jashaun Corbin,NE,RB,CUT
Javonte Williams,DAL,RB,RES
Jawhar Jordan,HOU,RB,INA
Jaydon Blue,DAL,RB,ACT
Jaylen Warren,PIT,RB,ACT
Jaylen Wright,MIA,RB,ACT
Jeff Wilson,MIA,RB,ACT
Jeremy McNichols,WAS,RB,ACT
Jermar Jefferson,ARI,RB,DEV
Jerome Ford,CLE,RB,RES
Joe Mixon,HOU,RB,RES
Jonathan Taylor,IND,RB,ACT
Jonathan Ward,BAL,RB,DEV
Jonathon Brooks,CAR,RB,RES
Jordan James,SF,RB,ACT
Jordan Mason,MIN,RB,ACT
Jordan Mims,TEN,RB,DEV
Jordan Waters,LA,RB,CUT
Josh Jacobs,GB,RB,ACT
Josh Williams,TB,RB,DEV
Julius Chestnut,TEN,RB,ACT
Justice Hill,BAL,RB,RES
Kaleb Johnson,PIT,RB,INA
Kalel Mullings,TEN,RB,ACT
Kareem Hunt,KC,RB,ACT
Kayron Lynch-Adams,CAR,RB,CUT
Kazmeir Allen,WAS,RB,CUT
Ke'Shawn Vaughn,SF,RB,CUT
Keaontay Ingram,KC,RB,RES
Keaton Mitchell,BAL,RB,ACT
Keilan Robinson,NYJ,RB,DEV
Kendall Milton,CIN,RB,DEV
Kendre Miller,NO,RB,RES
Kene Nwangwu,NYJ,RB,ACT
Kenneth Gainwell,PIT,RB,ACT
Kenneth Walker III,SEA,RB,ACT
Kenny McIntosh,SEA,RB,RES
Kevin Harris,JAX,RB,CUT
Khalil Herbert,NYJ,RB,ACT
Kimani Vidal,LAC,RB,ACT
Kye Robichaux,DET,RB,RES
Kyle Juszczyk,SF,RB,ACT
Kyle Monangai,CHI,RB,ACT
Kyren Williams,LA,RB,ACT
Lan Larison,NE,RB,RES
Lawrance Toafili,NYJ,RB,CUT
LeQuint Allen Jr.,JAX,RB,ACT
Lew Nichols III,PIT,RB,DEV
Lucas Scott,BAL,RB,DEV
Malik Davis,DAL,RB,RES
MarShawn Lloyd,GB,RB,RES
Marcus Yarns,NO,RB,CUT
Max Hurleman,PIT,RB,DEV
Micah Bernard,NE,RB,CUT
Michael Burton,DEN,RB,RES
Michael Carter,ARI,RB,ACT
Michael Wiley,TB,RB,CUT
Mike Boone,MIA,RB,CUT
Miles Sanders,DAL,RB,RES
Montrell Johnson Jr.,CAR,RB,DEV
Myles Gaskin,SEA,RB,CUT
Najee Harris,LAC,RB,RES
Nate Carter,ATL,RB,ACT
Nate Noel,IND,RB,CUT
Nay'Quan Wright,IND,RB,CUT
Nick Chubb,HOU,RB,ACT
Nyheim Hines,NO,RB,ACT
Ollie Gordon II,MIA,RB,ACT
Omarion Hampton,LAC,RB,ACT
Owen Wright,TB,RB,DEV
Patrick Ricard,BAL,RB,ACT
Patrick Taylor,SF,RB,RES
Phil Mafah,DAL,RB,ACT
Pierre Strong,GB,RB,DEV
Quali Conley,CIN,RB,CUT
Quinshon Judkins,CLE,RB,RES
RJ Harvey,DEN,RB,ACT
Rachaad White,TB,RB,ACT
Raheem Blackshear,NYJ,RB,ACT
Raheem Mostert,LV,RB,INA
Raheim Sanders,CLE,RB,ACT
Rasheen Ali,BAL,RB,ACT
Ray Davis,BUF,RB,ACT
Reggie Gilliam,BUF,RB,ACT
Rhamondre Stevenson,NE,RB,ACT
Rico Dowdle,CAR,RB,ACT
Robbie Ouzts,SEA,RB,INA
Ronnie Rivers,LA,RB,ACT
Roschon Johnson,CHI,RB,RES
Royce Freeman,LAC,RB,DEV
Rushawn Baker,NE,RB,CUT
Salvon Ahmed,IND,RB,RES
Samaje Perine,CIN,RB,ACT
Saquon Barkley,PHI,RB,ACT
Scott Matlock,LAC,RB,ACT
Sean Tucker,TB,RB,ACT
Shane Watts,NE,RB,CUT
ShunDerrick Powell,PHI,RB,CUT
Sincere McCormick,MIN,RB,DEV
Sione Vaki,DET,RB,ACT
Tahj Brooks,CIN,RB,ACT
Tank Bigsby,PHI,RB,ACT
Terrell Jennings,NE,RB,RES
Tony Pollard,TEN,RB,ACT
Travis Etienne,JAX,RB,ACT
