# Roster overrides for 2026 projections (auto-generated + manual edits)
# Edit this file to reflect trades, cuts, signings, and retirements.
# Columns: player_name, team, position, status
#   status: ACT = active, TRADE = moved teams, CUT = released, RET = retired
# Lines starting with # are ignored. Re-run update_rosters.py to refresh.
player_name,team,position,status
Ryan Miller,NYG,WR,INA
Samori Toure,NO,WR,ACT
Savion Williams,GB,WR,RES
Scott Miller,PIT,WR,ACT
Shedrick Jackson,LV,WR,ACT
Silas Bolden,HOU,WR,CUT
Simi Fehoko,ARI,WR,RES
Skyy Moore,SF,WR,ACT
Stefon Diggs,NE,WR,ACT
Stephen Gosnell,BUF,WR,DEV
Sterling Shepard,TB,WR,INA
Steven Sims,ARI,WR,ACT
T.J. Luther,CAR,WR,CUT
T.J. Sheffield,TEN,WR,CUT
Tahj Washington,MIA,WR,ACT
Tai Felton,MIN,WR,ACT
Tank Dell,HOU,WR,RES
Tay Martin,WAS,WR,CUT
Taylor Morin,PHI,WR,CUT
Tee Higgins,CIN,WR,ACT
Tejhaun Palmer,ARI,WR,ACT
Terique Owens,SF,WR,CUT
Terrace Marshall Jr.,PHI,WR,DEV
Terry McLaurin,WAS,WR,ACT
Tetairoa McMillan,CAR,WR,ACT
Tez Johnson,TB,WR,ACT
Thayer Thomas,DEN,WR,CUT
Theo Wease Jr.,MIA,WR,ACT
Tim Jones,JAX,WR,ACT
Tim Patrick,JAX,WR,ACT
Tom Kennedy,DET,WR,ACT
Tommy Mellott,NO,WR,CUT
Tory Horton,SEA,WR,RES
Traeshon Holden,DAL,WR,DEV
Travis Hunter,JAX,WR,RES
Tre Harris,LAC,WR,ACT
Tre Tucker,LV,WR,ACT
Trent Sherfield,NE,WR,DEV
Trent Taylor,SF,WR,RES
Trenton Irwin,NYJ,WR,DEV
Trey Palmer,NO,WR,RES
Treylon Burks,WAS,WR,ACT
Trishton Jackson,ARI,WR,CUT
Troy Franklin,DEN,WR,INA
Tru Edwards,LA,WR,DEV
Tutu Atwell,LA,WR,INA
Tylan Wallace,BAL,WR,ACT
Tyler Johnson,NYJ,WR,INA
Tyler Kahmann,IND,WR,CUT
Tyler Lockett,LV,WR,ACT
Tyler Scott,LA,WR,DEV
Tyquan Thornton,KC,WR,RES
Tyreek Hill,MIA,WR,RES
Tyrell Shavers,BUF,WR,RES
Tyrone Broden,SEA,WR,DEV
Van Jefferson,TEN,WR,RES
Wan'Dale Robinson,NYG,WR,RES
Will Sheppard,GB,WR,DEV
Xavier Gipson,NYG,WR,ACT
Xavier Guillory,BAL,WR,CUT
Xavier Hutchinson,HOU,WR,ACT
Xavier Johnson,CIN,WR,DEV
Xavier Legette,CAR,WR,ACT
Xavier Restrepo,TEN,WR,DEV
Xavier Smith,LA,WR,ACT
Xavier Weaver,ARI,WR,ACT
Xavier Worthy,KC,WR,INA
Zay Flowers,BAL,WR,ACT
Zay Jones,ARI,WR,RES
AJ Barner,SEA,TE,ACT
Adam Trautman,DEN,TE,ACT
Albert Okwuegbunam,LV,TE,DEV
Andrew Ogletree,IND,TE,RES
Anthony Firkser,DET,TE,ACT
Austin Hooper,NE,TE,ACT
Baylor Cupp,BAL,TE,CUT
Ben Sims,MIN,TE,ACT
Ben Sinnott,WAS,TE,ACT
Ben Yurosek,MIN,TE,ACT
Blake Whiteheart,CLE,TE,ACT
Brayden Willis,SF,TE,ACT
Brenden Bates,CLE,TE,ACT
Brenton Strange,JAX,TE,ACT
Brevin Jordan,HOU,TE,RES
Brevyn Spann-Ford,DAL,TE,ACT
Brock Bowers,LV,TE,RES
Brock Wright,DET,TE,RES
Bryce Pierre,CAR,TE,DEV
Bryson Nesbit,MIN,TE,DEV
CJ Dippre,NE,TE,INA
Cade Otton,TB,TE,ACT
Cade Stover,HOU,TE,ACT
Caden Prieskorn,CLE,TE,DEV
Caleb Lohner,DEN,TE,DEV
Cam Grandy,CIN,TE,INA
Cameron Latu,PHI,TE,ACT
Carter Runyon,LV,TE,ACT
Charlie Kolar,BAL,TE,ACT
Charlie Woerner,ATL,TE,ACT
Chig Okonkwo,TEN,TE,ACT
Chris Manhertz,NYG,TE,ACT
Chris Myarick,MIA,TE,DEV
Colby Parkinson,LA,TE,ACT
Cole Fotheringham,NE,TE,CUT
Cole Kmet,CHI,TE,ACT
Cole Turner,TEN,TE,ACT
Colson Yankoff,WAS,TE,ACT
Colston Loveland,CHI,TE,ACT
Connor Heyward,PIT,TE,ACT
Dallas Goedert,PHI,TE,ACT
Dalton Keene,HOU,TE,CUT
Dalton Kincaid,BUF,TE,ACT
Dalton Schultz,HOU,TE,ACT
Daniel Bellinger,NYG,TE,ACT
Darnell Washington,PIT,TE,RES
Darren Waller,MIA,TE,RES
David Martin-Robinson,TEN,TE,ACT
David Njoku,CLE,TE,INA
Davis Allen,LA,TE,ACT
Dawson Knox,BUF,TE,ACT
Devin Culp,TB,TE,ACT
Dominique Dafney,CAR,TE,CUT
Donald Parham,PIT,TE,RES
Drake Dabney,GB,TE,DEV
Drew Sample,CIN,TE,ACT
Durham Smythe,CHI,TE,ACT
E.J. Jenkins,PHI,TE,DEV
Elijah Arroyo,SEA,TE,ACT
Elijah Higgins,ARI,TE,ACT
Eric Saubert,SEA,TE,ACT
Erick All,CIN,TE,RES
Evan Engram,DEN,TE,ACT
Feleipe Franks,ATL,TE,ACT
Foster Moreau,NO,TE,RES
Gavin Bartholomew,MIN,TE,RES
Gee Scott Jr.,WAS,TE,DEV
Geor'Quarius Spivey,KC,TE,CUT
George Kittle,SF,TE,RES
Giovanni Ricci,DET,TE,DEV
Grant Calcaterra,PHI,TE,ACT
Greg Dulcich,MIA,TE,ACT
Gunnar Helm,TEN,TE,INA
Gunnar Oakes,DET,TE,CUT
Harold Fannin Jr.,CLE,TE,INA
Harrison Bryant,HOU,TE,ACT
Hayden Rucci,SF,TE,DEV
Hunter Henry,NE,TE,ACT
Hunter Long,JAX,TE,INA
Ian Thomas,LV,TE,ACT
Irv Smith,HOU,TE,RES
Isaiah Likely,BAL,TE,ACT
JJ Galbreath,PIT,TE,CUT
Ja'Tavion Sanders,CAR,TE,RES
Jack Stoll,NO,TE,RES
Jackson Hawes,BUF,TE,ACT
Jaheim Bell,PIT,TE,DEV
Jake Briningstool,KC,TE,RES
Jake Ferguson,DAL,TE,ACT
Jake Tonges,SF,TE,ACT
Jalin Conyers,MIA,TE,RES
James Mitchell,CAR,TE,ACT
Jared Wiley,KC,TE,ACT
Jelani Woods,NYJ,TE,INA
Jeremy Ruckert,NYJ,TE,ACT
Jermaine Terry,NYG,TE,CUT
Joel Wilson,TEN,TE,DEV
John Bates,WAS,TE,ACT
John Copenhaver,JAX,TE,CUT
John FitzPatrick,GB,TE,RES
John Stephens Jr.,DAL,TE,CUT
Johnny Lumpkin,GB,TE,CUT
Johnny Mundt,JAX,TE,ACT
Jonnu Smith,PIT,TE,ACT
Jordan Akins,JAX,TE,DEV
Josh Oliver,MIN,TE,ACT
Josh Whyle,GB,TE,ACT
Joshua Simon,ATL,TE,DEV
Josiah Deguara,ARI,TE,ACT
Julian Hill,MIA,TE,ACT
Juwan Johnson,NO,TE,ACT
Keleki Latu,BUF,TE,INA
Kenny Yeboah,DET,TE,CUT
Kevin Foelsch,PIT,TE,CUT
Ko Kieft,TB,TE,RES
Kyle Pitts,ATL,TE,ACT
Kylen Granson,PHI,TE,ACT
Lawrence Cager,WAS,TE,DEV
Layne Pryor,HOU,TE,DEV
Lucas Krull,DEN,TE,RES
Luke Farrell,SF,TE,ACT
Luke Lachey,HOU,TE,DEV
Luke Musgrave,GB,TE,ACT
Luke Schoonmaker,DAL,TE,ACT
Marcedes Lewis,DEN,TE,DEV
Mark Andrews,BAL,TE,ACT
Mark Redman,LA,TE,DEV
Marshall Lang,NE,TE,DEV
Mason Pline,NO,TE,RES
Mason Taylor,NYJ,TE,RES
Matt Sokol,PIT,TE,DEV
Maximilian Mang,NYG,TE,DEV
McCallan Castles,GB,TE,DEV
Messiah Swinson,GB,TE,DEV
Michael Jacobson,NO,TE,CUT
Michael Mayer,LV,TE,ACT
Mike Gesicki,CIN,TE,ACT
Mitch Van Vooren,CLE,TE,CUT
Mitchell Evans,CAR,TE,ACT
Mo Alie-Cox,IND,TE,ACT
Moliki Matavao,NO,TE,ACT
Nate Adkins,DEN,TE,ACT
Neal Johnson,NYJ,TE,CUT
Nick Kallerup,SEA,TE,INA
Nick Muse,NYJ,TE,DEV
Nick Vannett,LA,TE,INA
Nikola Kalinic,CHI,TE,ACT
Noah Fant,CIN,TE,ACT
Noah Gray,KC,TE,ACT
Oronde Gadsden II,LAC,TE,ACT
Oscar Cardenas,ARI,TE,CUT
Pat Freiermuth,PIT,TE,ACT
Patrick Herbert,JAX,TE,DEV
Patrick Murtagh,DEN,TE,DEV
Payne Durham,TB,TE,ACT
Pharaoh Brown,ARI,TE,ACT
Princeton Fant,DAL,TE,DEV
Qadir Ismail,CHI,TE,DEV
Quintin Morris,JAX,TE,ACT
Rivaldo Fairweather,ARI,TE,INA
Robert Tonyan,KC,TE,ACT
Ross Dwelley,CAR,TE,DEV
Sal Cannella,CLE,TE,ACT
Sam LaPorta,DET,TE,RES
Scotty Washington,BAL,TE,DEV
Sean McKeon,IND,TE,ACT
Seth Green,NO,TE,CUT
Shane Zylstra,DET,TE,ACT
Shawn Bowman,JAX,TE,CUT
Stephen Carlson,CHI,TE,DEV
Steven Stilianos,DET,TE,CUT
Stevo Klotz,LAC,TE,CUT
Stone Smartt,NYJ,TE,ACT
T.J. Hockenson,MIN,TE,INA
Tanner Conner,NYG,TE,ACT
Tanner Hudson,CIN,TE,ACT
Tanner McLachlan,LAC,TE,CUT
Tanner Taula,TB,TE,DEV
Teagan Quitoriano,ATL,TE,ACT
Terrance Ferguson,LA,TE,ACT
Theo Johnson,NYG,TE,INA
Thomas Fidone II,NYG,TE,RES
Thomas Gordon,CHI,TE,DEV
Thomas Odukoya,NE,TE,DEV
Thomas Yassmin,LAC,TE,DEV
Tip Reiman,ARI,TE,RES
Tommy Tremble,CAR,TE,ACT
Travis Kelce,KC,TE,ACT
Travis Vokolek,ARI,TE,RES
Tre Watson,KC,TE,DEV
Trey McBride,ARI,TE,ACT
Treyton Welch,NO,TE,ACT
Tucker Fisk,LAC,TE,ACT
Tucker Kraft,GB,TE,RES
Tyler Conklin,LAC,TE,INA
Tyler Higbee,LA,TE,ACT
Tyler Mabry,CAR,TE,CUT
Tyler Neville,DAL,TE,CUT
Tyler Warren,IND,TE,ACT
Tyree Jackson,WAS,TE,RES
Will Dissly,LAC,TE,ACT
Will Mallory,IND,TE,INA
Zach Davidson,NYG,TE,DEV
Zach Ertz,WAS,TE,RES
Zach Horton,DET,TE,ACT
Zack Kuntz,NYJ,TE,CUT
Zaire Mitchell-Paden,NO,TE,RES
Andre Szmyt,CLE,K,ACT
Andy Borregales,NE,K,ACT
Ben Sauls,NYG,K,ACT
Blake Grupe,IND,K,ACT
Brandon Aubrey,DAL,K,ACT
Brandon McManus,GB,K,ACT
Cade York,NO,K,CUT
Cairo Santos,CHI,K,ACT
Cam Little,JAX,K,ACT
Cameron Dicker,LAC,K,ACT
Chad Ryland,ARI,K,ACT
Charlie Smyth,NO,K,ACT
Chase McLaughlin,TB,K,ACT
Chris Boswell,PIT,K,ACT
Daniel Carlson,LV,K,ACT
Dustin Hopkins,CLE,K,CUT
Eddy Pineiro,SF,K,ACT
Evan McPherson,CIN,K,ACT
Graham Gano,NYG,K,RES
Greg Joseph,LV,K,CUT
Harrison Butker,KC,K,ACT
Harrison Mevis,LA,K,ACT
Jake Bates,DET,K,ACT
Jake Elliott,PHI,K,ACT
Jake Moody,WAS,K,ACT
Jason Myers,SEA,K,ACT
Jason Sanders,MIA,K,RES
Joey Slye,TEN,K,ACT
John Parker Romo,ATL,K,CUT
Joshua Karty,ARI,K,INA
Jude McAtamney,NYG,K,DEV
Ka'imi Fairbairn,HOU,K,ACT
Lenny Krieg,ATL,K,DEV
Lucas Havrisik,GB,K,DEV
Maddux Trujillo,BUF,K,RES
Mark McNamee,GB,K,CUT
Matt Gay,SF,K,TRD
Matt Prater,BUF,K,ACT
Matthew Wright,BUF,K,DEV
Mike Badgley,BUF,K,ACT
Nick Folk,NYJ,K,ACT
Riley Patterson,MIA,K,ACT
Ryan Fitzgerald,CAR,K,ACT
Spencer Shrader,IND,K,RES
Tyler Bass,BUF,K,RES
Tyler Loop,BAL,K,ACT
Wil Lutz,DEN,K,ACT
Will Reichard,MIN,K,ACT
Younghoe Koo,NYG,K,TRD
Zane Gonzalez,ATL,K,ACT
