name,position,team,pos_rank,model_total,model_ppg,model_games,model_floor,model_ceiling,sleeper_total,sleeper_ppr_native,sleeper_games,slp_pass_yd,slp_pass_td,slp_pass_int,slp_rush_yd,slp_rush_td,slp_rec,slp_rec_yd,slp_rec_td,slp_fum_lost,diff,diff_pct,abs_diff,sleeper_ppg,ppg_diff,games_diff,pts_from_games_diff,pts_from_ppg_diff
Zamir White,RB,LV,121,28.0,3.0,9.4,7.0,65.0,5.1,5.1,18.0,0.0,0.0,0.0,21.0,0.0,2.0,10.0,0.0,0.0,22.9,449.01960784313724,22.9,0.2833333333333333,2.716666666666667,-8.6,-2.4366666666666665,25.53666666666667
Samaje Perine,RB,CIN,73,56.0,4.8,11.7,20.0,103.0,33.2,33.2,18.0,0.0,0.0,0.0,132.0,1.0,8.0,60.0,0.0,0.0,22.799999999999997,68.67469879518072,22.799999999999997,1.8444444444444446,2.9555555555555553,-6.300000000000001,-11.620000000000003,34.57999999999999
Luke Schoonmaker,TE,DAL,55,54.0,4.3,12.5,22.0,82.0,31.4,31.4,18.0,0.0,0.0,0.0,0.0,0.0,13.0,124.0,1.0,0.0,22.6,71.97452229299364,22.6,1.7444444444444445,2.5555555555555554,-5.5,-9.594444444444445,31.944444444444443
Olamide Zaccheaus,WR,CHI,112,60.0,5.2,11.7,22.0,102.0,82.5,82.5,18.0,0.0,0.0,0.0,13.0,0.0,33.0,362.0,2.0,0.0,-22.5,-27.27272727272727,22.5,4.583333333333333,0.6166666666666671,-6.300000000000001,-28.875,7.215000000000005
Tommy Tremble,TE,CAR,54,54.0,4.4,12.4,23.0,94.0,31.8,31.8,18.0,0.0,0.0,0.0,0.0,0.0,13.0,128.0,1.0,0.0,22.2,69.81132075471697,22.2,1.7666666666666666,2.6333333333333337,-5.6,-9.893333333333333,32.653333333333336
Garrett Nussmeier,QB,,83,22.0,2.8,7.8,-2.0,70.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,22.0,0.0,2.8,-10.2,0.0,21.84
CJ Daniels,WR,,217,22.0,2.8,7.8,-2.0,70.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,22.0,0.0,2.8,-10.2,0.0,21.84
Darius Slayton,WR,NYG,107,65.0,5.3,12.3,33.0,114.0,87.0,87.0,18.0,0.0,0.0,0.0,0.0,0.0,28.0,410.0,3.0,0.0,-22.0,-25.287356321839084,22.0,4.833333333333333,0.4666666666666668,-5.699999999999999,-27.549999999999994,5.740000000000002
Mason Taylor,TE,NYJ,18,111.0,9.0,12.4,47.0,129.0,132.9,132.9,18.0,0.0,0.0,0.0,0.0,0.0,55.0,539.0,4.0,0.0,-21.900000000000006,-16.47855530474041,21.900000000000006,7.383333333333334,1.6166666666666663,-5.6,-41.346666666666664,20.046666666666663
Josh Oliver,TE,MIN,51,55.0,5.1,10.8,24.0,90.0,33.1,33.1,18.0,0.0,0.0,0.0,0.0,0.0,14.0,131.0,1.0,0.0,21.9,66.1631419939577,21.9,1.838888888888889,3.2611111111111106,-7.199999999999999,-13.24,35.22
