player_display_name,position_group,team,projected_ppg,projected_games,projected_total,pos_rank,total_floor,total_ceiling
Dennis Santana,RP,PIT,3.0,64.3,194,59,102,423
Elias Diaz,C,SD,2.1,93.5,193,21,98,217
Mike Vasil,RP,CWS,4.7,41.3,193,60,105,331
Randal Grichuk,OF,KC,2.0,96.6,192,91,106,252
Garrett Whitlock,RP,BOS,3.6,54.1,192,61,116,368
Jordan Beck,OF,COL,2.0,95.1,191,92,145,253
Kyle Isbel,OF,KC,1.8,106.9,191,93,107,252
Austin Wells,C,NYY,2.2,87.6,191,22,127,251
Max Kranick,RP,NYM,4.3,44.7,191,62,71,454
Abner Uribe,RP,MIL,3.2,60.3,191,63,115,382
Wilmer Flores,DH,SF,2.1,92.8,190,23,124,254
Orlando Arcia,SS,COL,2.0,96.3,189,31,81,247
Evan Carter,OF,TEX,2.3,83.0,189,94,125,231
Jason Adam,RP,SD,3.0,62.2,189,64,97,340
Chris Flexen,RP,CHC,5.3,35.7,189,65,50,369
Griffin Jax,RP,TB,3.2,58.7,189,66,127,272
Tobias Myers,RP,MIL,5.5,34.2,189,67,55,457
Grant Taylor,RP,CWS,3.8,49.5,189,68,105,376
Carlos Narváez,C,BOS,2.2,85.7,188,23,129,227
Jacob Young,OF,WSN,1.8,104.0,187,95,100,251
Kyle Higashioka,C,TEX,2.1,86.8,186,24,125,238
Kyle Stowers,OF,MIA,2.3,81.9,186,96,128,266
Shawn Armstrong,RP,TEX,3.3,56.4,186,69,101,406
Jake Fraley,OF,ATL,2.3,82.1,185,97,103,212
Carson Kelly,C,CHC,2.3,80.9,185,25,138,211
Pete Fairbanks,RP,TB,3.6,51.6,185,70,79,288
Steven Matz,RP,BOS,4.3,42.7,185,71,81,354
Sean Newcomb,RP,OAK,3.8,49.1,185,72,101,508
Will Benson,OF,CIN,2.1,85.6,184,98,106,223
Alex Call,OF,LAD,1.9,98.5,184,99,103,221
Mauricio Dubon,OF,HOU,1.8,99.7,184,100,112,237
Rowdy Tellez,1B,TEX,2.0,94.1,184,33,122,238
Blake Perkins,OF,MIL,2.1,86.3,183,101,85,208
Camilo Doval,RP,NYY,2.9,62.8,183,73,108,444
Taijuan Walker,SP,PHI,5.6,32.5,183,127,92,448
Matt Brash,RP,SEA,3.0,60.9,182,74,104,318
Jakob Junis,RP,CLE,3.6,50.8,182,75,46,348
Juan Morillo,RP,ARI,3.5,52.8,182,76,90,303
Enrique Hernandez,OF,LAD,2.1,85.3,181,102,110,211
Heriberto Hernandez,OF,MIA,2.3,79.8,181,103,113,205
Javier Sanoja,OF,MIA,1.8,101.7,181,104,103,228
Jordan Romano,RP,PHI,3.4,53.2,181,77,70,262
Bo Naylor,C,CLE,2.1,86.8,180,26,111,222
Francisco Alvarez,C,NYM,2.2,79.6,179,27,125,207
Ramon Urias,3B,HOU,2.0,90.9,179,32,109,237
Tyler Alexander,RP,CWS,4.1,43.3,179,78,78,399
Lucas Erceg,RP,KC,3.4,53.3,179,79,60,298
Brady House,3B,WSN,1.9,95.2,178,33,97,255
Justin Turner,1B,CHC,2.1,85.8,178,34,95,228
Drew Pomeranz,RP,CHC,3.3,53.8,178,80,84,327
Tanner Scott,RP,LAD,3.0,59.9,178,81,103,334
Joey Bart,C,PIT,2.2,80.4,177,28,96,215
Kyle Farmer,2B,COL,1.7,102.4,177,30,98,232
Angel Martínez,OF,CLE,1.8,100.3,177,105,108,253
Parker Meadows,OF,DET,2.3,77.3,176,106,96,200
Josh Simpson,RP,MIA,3.4,51.9,176,82,84,489
Kyle Manzardo,DH,CLE,2.0,87.2,174,24,133,252
Jack Suwinski,OF,PIT,2.0,85.9,174,107,86,210
Tony Santillan,RP,CIN,3.0,57.2,174,83,71,304
Jake Meyers,OF,HOU,2.1,80.5,173,108,114,222
Amed Rosario,3B,NYY,2.2,79.2,173,34,118,218
Victor Scott,OF,STL,2.0,87.1,173,109,92,204
Lake Bachar,RP,MIA,3.5,50.0,173,84,98,289
Shelby Miller,RP,MIL,3.4,51.6,173,85,86,365
Santiago Espinal,3B,CIN,1.9,89.3,172,35,83,215
Nolan Jones,OF,CLE,1.9,91.0,172,110,83,233
Austin Martin,OF,MIN,2.1,80.2,172,111,107,214
Rob Refsnyder,OF,BOS,2.1,81.2,172,112,111,201
Brayan Rocchio,SS,CLE,1.8,95.9,172,32,95,238
Dominic Smith,1B,SF,2.3,74.0,172,35,109,203
Pavin Smith,DH,ARI,2.0,87.0,171,25,124,237
Jared Triolo,SS,PIT,2.0,85.3,171,33,114,213
Kyle Leahy,RP,STL,3.2,53.9,171,86,100,316
Emilio Pagan,RP,CIN,3.1,55.2,171,87,87,348
Spencer Bivens,RP,SF,3.6,46.8,170,88,93,303
Jimmy Herget,RP,COL,3.3,51.1,170,89,76,284
Jared Koenig,RP,MIL,2.6,65.1,170,90,86,326
Luke Weaver,RP,NYY,3.5,48.1,169,91,79,334
Greg Weissert,RP,BOS,2.7,63.0,169,92,86,294
Kirby Yates,RP,LAD,3.1,54.6,169,93,99,292
Luis Matos,OF,SF,2.1,80.9,168,113,101,218
LaMonte Wade,1B,LAA,2.1,82.1,168,36,85,204
Matt Strahm,RP,PHI,2.9,58.2,168,94,82,324
Eric Orze,RP,TB,3.4,49.0,167,95,75,294
JoJo Romero,RP,STL,2.9,57.8,167,96,70,262
Jac Caglianone,OF,KC,1.9,85.8,165,114,85,213
Henry Davis,C,PIT,2.0,81.8,165,29,72,205
David Fry,DH,CLE,1.9,88.8,165,26,78,241
Jhonkensy Noel,OF,CLE,2.0,81.2,165,115,64,219
Tim Tawa,OF,ARI,2.0,82.8,165,116,89,186
Chase Lee,RP,DET,3.4,48.7,165,97,96,314
German Marquez,SP,COL,6.2,26.7,165,128,50,363
Juan Mejia,RP,COL,3.3,50.5,165,98,86,244
Yoan Moncada,3B,LAA,2.3,71.3,164,36,118,191
Jordan Walker,OF,STL,1.9,85.2,164,117,95,213
Jack Dreyer,RP,LAD,3.0,54.5,164,99,97,348
Erick Fedde,SP,MIL,5.5,29.5,164,129,74,422
Chad Green,RP,TOR,2.9,56.4,164,100,74,328
Alex Vesia,RP,LAD,2.8,58.0,164,101,99,324
Kameron Misner,OF,TB,1.9,87.3,163,118,81,194
Edmundo Sosa,2B,PHI,2.0,80.5,163,31,113,212
Tommy Nance,RP,TOR,2.7,60.6,163,102,94,413
Mitch Spence,RP,OAK,5.1,31.9,163,103,62,378
Liam Hicks,C,MIA,1.7,94.2,162,30,96,222
Connor Wong,C,BOS,2.1,76.2,162,31,80,185
John Curtiss,RP,ARI,3.3,49.6,162,104,82,361
Seranthony Dominguez,RP,TOR,2.6,62.3,162,105,98,288
Bryan King,RP,HOU,3.0,53.5,162,106,73,281
Antonio Senzatela,SP,COL,4.5,35.9,162,130,53,499
Darell Hernaiz,SS,OAK,2.0,80.9,161,34,94,203
Pedro Pagés,C,STL,1.7,94.0,161,32,95,232
Eli White,OF,ATL,2.0,79.7,161,119,86,191
Jose Butto,RP,SF,3.3,48.1,161,107,86,282
Fernando Cruz,RP,NYY,2.8,58.2,161,108,114,423
Alexander Canario,OF,PIT,1.8,90.2,160,120,70,202
Dominic Canzone,OF,SEA,2.3,70.0,160,121,102,181
Ezequiel Duran,SS,TEX,1.9,86.3,160,35,67,200
Dane Myers,OF,MIA,1.7,92.0,160,122,83,197
Bryce Teodosio,OF,LAA,1.7,92.0,160,123,67,226
Garrett Cleavinger,RP,TB,2.9,55.2,159,109,102,279
Sean Murphy,C,ATL,2.2,73.3,158,33,105,186
Edgar Quero,C,CWS,1.8,87.7,158,34,93,213
Mason Englert,RP,TB,3.2,49.8,158,110,116,399
Gabriel Arias,SS,CLE,1.7,94.9,157,36,102,252
Danny Jansen,C,MIL,2.2,72.4,157,35,102,171
Johan Rojas,OF,PHI,2.0,77.5,157,124,68,176
Valente Bellozo,RP,MIA,4.2,37.6,157,111,90,403
Yoendrys Gómez,RP,CWS,4.6,34.0,157,112,70,460
Freddy Fermin,C,SD,1.8,87.2,156,36,83,196
Mitch Garver,C,SEA,2.1,73.5,156,37,100,189
Drew Waters,OF,KC,2.0,76.2,156,125,77,188
Aaron Bummer,RP,ATL,3.2,47.8,155,113,102,256
Calvin Faucher,RP,MIA,2.9,54.3,155,114,72,312
Hunter Gaddis,RP,CLE,2.4,65.8,155,115,78,278
Mason Montgomery,RP,TB,3.1,50.0,155,116,84,227
Austin Slater,OF,NYY,2.0,78.9,154,126,57,184
Jose Trevino,C,CIN,2.0,77.7,154,38,82,190
Victor Vodnik,RP,COL,2.9,54.0,154,117,69,325
Max Schuemann,2B,OAK,1.7,88.8,153,32,75,202
Ryan Fernandez,RP,STL,2.8,54.3,153,118,80,220
Hogan Harris,RP,OAK,3.3,45.9,153,119,65,295
Steven Okert,RP,HOU,2.7,57.7,153,120,102,323
Thomas Saggese,2B,STL,1.8,84.7,152,33,84,194
Taylor Walls,SS,TB,2.0,75.9,152,37,88,180
Danny Coulombe,RP,TEX,2.7,56.4,152,121,74,234
Cole Henry,RP,WSN,2.7,56.1,152,122,82,212
Victor Caratini,C,HOU,1.9,79.6,151,39,102,209
Casey Schmitt,2B,SF,1.9,77.6,151,34,110,198
Hyeseong Kim,2B,LAD,1.8,84.7,150,35,86,192
John Rave,OF,KC,1.8,83.8,150,127,66,184
Brendon Little,RP,TOR,2.2,68.8,150,123,98,234
Brad Lord,RP,WSN,4.1,36.6,150,124,89,460
Patrick Bailey,C,SF,1.6,91.8,149,40,80,229
Kolby Allard,RP,CLE,3.9,38.7,149,125,81,271
Joey Wentz,RP,ATL,3.9,38.1,149,126,79,485
Austin Hedges,C,CLE,1.9,79.5,148,41,57,176
Eduard Bazardo,RP,SEA,2.4,61.0,148,127,90,320
Tristan Beck,RP,SF,3.5,41.8,148,128,106,296
Tyler Phillips,RP,MIA,3.0,49.6,148,129,71,283
Ryan Rolison,RP,COL,2.7,55.7,148,130,77,370
Kristian Campbell,2B,BOS,2.0,75.2,147,36,85,194
Martin Maldonado,C,SD,1.8,81.1,147,42,56,209
Braydon Fisher,RP,TOR,2.6,56.8,147,131,89,299
Nick Fortes,C,TB,1.8,82.5,146,43,83,183
José Tena,3B,WSN,1.8,83.0,146,37,82,208
Gio Urshela,3B,OAK,1.9,76.1,146,38,86,188
Ben Williamson,3B,SEA,2.0,71.3,146,39,83,165
Luis Urias,2B,OAK,1.9,74.6,145,37,94,190
Scott Blewett,RP,ATL,4.0,36.3,145,132,70,236
Joey Lucchesi,RP,SF,3.6,39.9,145,133,70,282
Christian Koss,2B,SF,1.8,80.6,144,38,69,168
Nick Loftin,OF,KC,1.9,74.0,144,128,71,175
Alejandro Osuna,OF,TEX,1.8,81.4,144,129,63,187
Jorge Alcala,RP,STL,2.5,56.6,144,134,76,214
Anthony Bender,RP,MIA,2.5,58.1,144,135,72,261
DL Hall,RP,MIL,4.2,34.5,144,136,66,366
Jacob Webb,RP,TEX,3.0,48.9,144,137,70,302
Luisangel Acuña,2B,NYM,1.6,88.4,143,39,63,195
Trey Sweeney,SS,DET,1.8,78.5,143,38,66,167
Andy Ibanez,3B,DET,1.7,81.6,142,40,80,189
Oswald Peraza,3B,LAA,1.5,92.2,142,41,69,218
Donovan Solano,1B,TEX,1.7,82.2,142,37,69,189
Orion Kerkering,RP,PHI,2.2,63.7,142,138,74,312
Riley Adams,C,WSN,1.6,85.5,141,44,64,220
Brooks Baldwin,OF,CWS,1.7,83.7,141,130,89,189
Ronny Mauricio,3B,NYM,1.9,75.9,141,42,79,161
Yohel Pozo,C,STL,1.7,80.7,141,45,69,189
Ben Casparius,RP,LAD,3.3,43.1,141,139,105,338
Gabe Speier,RP,SEA,2.2,64.3,141,140,119,315
Nick Allen,SS,ATL,1.6,90.5,140,39,62,206
Travis d'Arnaud,C,LAA,2.0,70.8,140,46,76,190
Cam Booser,RP,CWS,2.6,54.5,140,141,92,227
Otto Kemp,3B,PHI,2.1,66.9,139,43,86,167
Daniel Schneemann,2B,CLE,1.7,82.5,139,40,82,186
Keegan Akin,RP,BAL,2.8,49.8,139,142,76,269
Matt Festa,RP,CLE,2.4,56.7,138,143,85,236
Andrew Kittredge,RP,CHC,2.6,53.7,138,144,98,317
Dylan Lee,RP,ATL,2.2,62.2,138,145,88,302
Jahmai Jones,DH,DET,1.8,78.1,137,27,80,205
Curtis Mead,1B,CWS,1.7,82.5,137,38,61,180
Robert Hassell,OF,WSN,1.7,78.4,136,131,59,181
Edouard Julien,1B,MIN,1.8,74.7,136,39,69,182
Coby Mayo,1B,BAL,2.0,68.4,136,40,84,164
Alan Roden,OF,MIN,1.7,77.9,136,132,64,176
Dalton Rushing,C,LAD,1.8,77.5,136,47,65,184
Davis Schneider,OF,TOR,1.9,71.7,136,133,96,187
Christian Vazquez,C,MIN,2.0,68.9,135,48,68,167
Carlos Hernandez,RP,CLE,2.6,52.1,135,146,75,239
Justin Slaten,RP,BOS,2.5,53.7,135,147,76,267
Jake Bauers,1B,MIL,1.8,73.1,134,41,99,177
Tyler Heineman,C,TOR,1.7,78.5,134,49,83,162
Cole Sands,RP,MIN,2.4,54.8,134,148,88,258
Graham Pauley,3B,MIA,1.8,72.6,133,44,73,161
Cole Young,2B,SEA,1.9,71.0,133,41,73,155
Caleb Ferguson,RP,SEA,2.3,58.7,133,149,77,234
Tyler Holton,RP,DET,2.7,49.8,133,150,81,276
Mark Leiter,RP,NYY,2.4,55.7,133,151,90,217
Christian Moore,2B,LAA,1.8,72.2,132,42,77,181
Andrew Chafin,RP,LAA,2.4,55.8,132,152,74,196
Taylor Clarke,RP,KC,2.8,47.6,132,153,51,330
Reid Detmers,RP,LAA,3.3,40.1,132,154,75,310
Dylan Carlson,OF,BAL,1.9,69.7,131,134,80,166
Jose Castillo,RP,BAL,2.6,51.3,131,155,69,226
Sam Long,RP,KC,2.4,55.0,131,156,72,213
Cole Winn,RP,TEX,2.8,46.7,131,157,65,317
Dylan Dodd,RP,ATL,3.0,43.8,130,158,73,292
Rico Garcia,RP,BAL,3.1,42.1,130,159,76,233
Robert Garcia,RP,TEX,2.3,56.5,130,160,82,251
Tyler Kinley,RP,ATL,2.3,56.5,130,161,89,288
Brent Suter,RP,CIN,2.8,46.2,130,162,77,268
Louie Varland,RP,TOR,1.9,67.2,130,163,77,267
Blaze Alexander,3B,ARI,1.8,70.0,128,45,80,167
Heston Kjerstad,OF,BAL,1.8,72.7,128,135,64,174
Max Muncy,3B,OAK,1.9,66.7,128,46,81,166
Tanner Banks,RP,PHI,2.3,56.3,128,164,82,239
Tim Hill,RP,NYY,2.3,55.0,128,165,61,235
Yariel Rodríguez,RP,TOR,2.4,54.0,128,166,69,364
Nacho Alvarez,3B,ATL,1.9,67.4,127,47,71,165
Ryan Ritter,SS,COL,1.7,73.4,127,40,70,169
Elvis Alvarado,RP,OAK,2.6,48.1,127,167,68,232
Reed Garrett,RP,NYM,2.4,54.0,127,168,95,236
Tim Herrin,RP,CLE,2.0,64.9,127,169,75,226
Hoby Milner,RP,TEX,2.1,61.2,127,170,97,248
Justin Topa,RP,MIN,2.4,53.5,127,171,83,217
Luis Torrens,C,NYM,1.8,69.8,126,50,80,153
Chris Martin,RP,TEX,2.5,51.3,126,172,80,212
Justin Sterner,RP,OAK,2.5,50.9,126,173,80,255
Jake Bird,RP,NYY,2.4,51.3,125,174,93,277
Kevin Kelly,RP,TB,2.2,57.0,125,175,90,220
Chase Shugart,RP,PIT,2.6,48.8,125,176,35,293
Genesis Cabrera,RP,MIN,2.4,52.2,124,177,84,267
Rafael Montero,RP,DET,2.1,60.3,124,178,98,232
Miles Mastrobuoni,3B,SEA,1.5,81.6,122,48,65,183
Bryan Baker,RP,TB,2.2,55.4,122,179,87,258
Anthony Banda,RP,LAD,2.0,60.1,122,180,77,261
Max Lazar,RP,PHI,2.5,48.8,122,181,65,216
Daniel Lynch,RP,KC,2.8,43.0,122,182,52,247
Jose Herrera,C,ARI,1.8,66.4,121,51,52,150
Scott Barlow,RP,CIN,1.9,63.3,121,183,98,237
Huascar Brazoban,RP,NYM,2.6,46.1,121,184,77,311
Tyler Ferguson,RP,OAK,2.3,53.8,121,185,80,242
Nic Enright,RP,CLE,2.6,45.8,120,186,67,330
Joe Ross,RP,PHI,2.8,43.3,120,187,69,212
Seth Halvorsen,RP,COL,2.5,47.2,119,188,67,264
Justin Wilson,RP,BOS,1.9,64.1,119,189,74,215
Ian Hamilton,RP,NYY,2.4,48.7,118,190,95,235
Jonathan Bowlan,RP,KC,2.8,42.4,117,191,83,238
Isaac Mattson,RP,PIT,2.4,49.7,117,192,36,286
Kaleb Ort,RP,HOU,2.2,53.8,117,193,82,209
John King,RP,STL,2.3,49.7,116,194,63,181
Ryan Zeferjahn,RP,LAA,2.5,45.6,116,195,85,193
Sam Haggerty,OF,TEX,1.7,68.5,115,136,74,160
José Fermin,RP,LAA,2.1,54.0,114,196,85,275
Kody Funderburk,RP,MIN,2.3,50.3,114,197,69,226
Ryan Pressly,RP,CHC,2.1,53.4,114,198,85,204
Brock Burke,RP,LAA,2.0,57.6,113,199,71,199
Erik Miller,RP,SF,2.1,54.2,113,200,64,201
Matt Gage,RP,SF,2.1,52.6,112,201,67,238
Cade Gibson,RP,MIA,2.3,48.4,112,202,60,286
David Morgan,RP,SD,2.8,39.6,112,203,59,213
Angel Chivilli,RP,COL,2.3,48.0,111,204,56,241
Shawn Dubin,RP,BAL,2.6,43.4,111,205,73,202
Gregory Soto,RP,NYM,1.8,62.7,111,206,88,222
Steven Wilson,RP,CWS,1.8,60.7,111,207,91,246
Manuel Rodriguez,RP,TB,2.1,53.5,110,208,72,267
Matt Thaiss,C,TB,1.6,68.9,109,52,61,162
Brennan Bernardino,RP,BOS,1.8,60.5,109,209,79,195
Tyler Gilbert,RP,CWS,2.6,41.1,109,210,76,267
Brenan Hanifee,RP,DET,1.9,56.5,107,211,80,217
Jackson Rutledge,RP,WSN,2.3,47.2,107,212,60,228
Michael Kelly,RP,OAK,2.2,49.2,106,213,55,265
Yuki Matsui,RP,SD,1.9,56.7,106,214,83,265
Lyon Richardson,RP,CIN,2.0,52.3,105,215,95,245
Lou Trivino,RP,PHI,2.1,51.3,105,216,84,165
Taylor Rogers,RP,CHC,1.7,61.9,104,217,78,193
Jalen Beeks,RP,ARI,2.0,51.2,103,218,89,227
Mason Fluharty,RP,TOR,1.8,58.2,103,219,83,238
Pierce Johnson,RP,ATL,1.9,53.9,103,220,78,268
Enyel De Los Santos,RP,HOU,2.0,52.0,102,221,78,195
Luis Garcia,RP,LAA,1.8,55.9,102,222,74,204
Grant Anderson,RP,MIL,1.8,56.0,101,223,74,246
Casey Legumina,RP,SEA,2.2,45.2,101,224,75,199
Tyler Rogers,RP,NYM,1.5,67.0,101,225,86,281
Nick Mears,RP,MIL,1.7,57.0,100,226,73,218
Ryne Stanek,RP,NYM,1.9,53.7,100,227,78,191
Yennier Cano,RP,BAL,1.8,56.2,99,228,80,196
Zack Kelly,RP,BOS,1.9,51.3,99,229,95,219
Brandon Eisert,RP,CWS,2.0,48.6,97,230,80,179
Ryan Thompson,RP,ARI,1.8,55.1,97,231,86,211
Zach Agnos,RP,COL,2.2,42.9,96,232,51,226
Trent Thornton,RP,SEA,2.1,44.7,96,233,67,242
Alek Jacob,RP,SD,2.4,39.5,95,234,56,187
Kyle Nicolas,RP,PIT,1.7,55.5,95,235,71,251
Wandy Peralta,RP,SD,1.5,61.9,95,236,78,188
John Schreiber,RP,KC,1.6,60.8,95,237,70,243
Caleb Thielbar,RP,CHC,1.6,58.4,95,238,75,290
Angel Zerpa,RP,KC,1.8,52.3,93,239,79,202
Luke Jackson,RP,SEA,1.7,51.6,90,240,98,238
Ryan Borucki,RP,TOR,1.6,53.2,86,241,53,233
Tommy Kahnle,RP,DET,1.5,58.6,86,242,88,232
Graham Ashcraft,RP,CIN,1.8,46.3,85,243,74,281
Connor Brogdon,RP,LAA,1.7,49.3,84,244,91,217
Brock Stewart,RP,LAD,1.7,49.1,84,245,60,223
Carlos Vargas,RP,SEA,1.5,51.6,76,246,77,196
Steven Cruz,RP,KC,1.3,49.9,66,247,67,192
