player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Ashton Dulin,WR,IND,1.6,1.2,0.4,5.3,10.1,16,4,54,217
Tim Jones,WR,JAX,1.8,1.4,0.5,3.6,8.5,16,5,31,218
Brycen Tremayne,WR,CAR,1.9,1.8,0.6,4.4,8.4,16,5,37,219
Tom Kennedy,WR,DET,1.7,1.0,0.2,3.7,9.2,15,2,34,221
James Proche,WR,TEN,1.6,1.5,0.3,4.0,9.0,15,3,36,222
Xavier Gipson,WR,NYG,1.6,0.9,0.2,3.2,9.4,15,2,31,223
Nikko Remigio,WR,KC,1.8,1.3,0.1,3.3,8.4,15,1,27,224
Charlie Jones,WR,,1.6,1.0,0.3,4.0,9.0,14,3,36,225
Alex Bachman,WR,LV,1.4,1.2,0.1,3.8,8.8,13,1,33,226
Xavier Weaver,WR,ARI,1.4,1.5,0.5,3.3,9.3,13,5,31,227
Andre Baccellia,WR,ARI,1.4,1.0,0.3,2.6,8.7,12,2,23,228
Mason Kinsey,WR,TEN,1.5,1.6,0.4,5.1,8.5,12,3,43,229
Anthony Gould,WR,IND,1.3,0.4,0.1,3.9,9.4,12,1,36,230
Dareke Young,WR,SEA,1.3,0.9,0.4,3.3,8.5,11,4,28,231
Deven Thompkins,WR,ATL,1.1,0.5,0.1,3.5,10.0,11,1,35,232
Steven Sims,WR,ARI,1.2,0.2,0.3,2.3,8.3,10,2,19,235
Britain Covey,WR,PHI,0.8,0.4,0.2,3.1,9.0,7,1,28,236
