player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Alec Ingold,RB,MIA,1.5,1.3,1.0,3.0,7.9,12,8,24,145
Velus Jones Jr.,RB,SEA,1.5,1.0,0.3,6.3,7.5,12,2,48,146
Kalel Mullings,RB,TEN,1.5,1.4,0.8,5.2,7.6,11,6,39,147
C.J. Ham,RB,MIN,1.1,0.8,0.2,2.9,9.1,10,2,26,148
Adam Prentice,RB,DEN,0.9,0.7,0.4,2.0,9.6,9,3,19,149
Andrew Beck,RB,NYJ,1.2,1.4,0.5,2.6,6.6,8,3,17,150
Travis Homer,RB,CHI,1.1,0.7,0.3,2.6,7.7,8,2,20,151
Reggie Gilliam,RB,BUF,1.0,0.7,0.1,2.0,8.0,8,1,16,152
Brady Russell,RB,SEA,0.8,0.5,0.1,2.3,7.5,6,1,18,153
Patrick Ricard,RB,BAL,0.6,0.4,-0.0,1.1,5.3,3,0,6,156
