player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Lucas Krull,TE,DEN,2.3,1.8,0.9,3.7,8.8,20,8,33,103
Nikola Kalinic,TE,CHI,3.1,2.9,0.2,4.3,6.0,19,1,26,104
Connor Heyward,TE,PIT,1.8,1.0,0.8,4.4,10.7,19,8,47,105
Zaire Mitchell-Paden,TE,NO,2.2,1.5,0.5,4.3,8.6,19,4,37,106
Grant Calcaterra,TE,PHI,1.9,1.8,0.9,4.3,9.7,18,9,41,109
Andrew Ogletree,TE,IND,1.8,1.4,0.8,3.3,9.7,18,7,32,110
Carter Runyon,TE,LV,2.4,1.8,0.8,5.4,7.7,18,6,42,111
Tanner Conner,TE,NYG,2.1,1.6,0.5,3.8,8.1,17,4,31,112
John FitzPatrick,TE,GB,1.8,1.6,0.7,3.5,9.2,16,7,33,113
Ben Sims,TE,MIN,2.3,1.9,1.1,3.2,6.8,16,8,22,114
Ben Yurosek,TE,MIN,1.9,1.3,0.3,4.8,8.3,16,2,39,115
Robert Tonyan,TE,KC,1.9,1.7,0.8,3.0,7.9,15,6,23,116
Brenden Bates,TE,CLE,1.9,1.7,0.6,4.8,7.8,15,5,38,117
Blake Whiteheart,TE,CLE,1.8,1.7,0.5,3.7,7.9,14,4,30,118
Colson Yankoff,TE,WAS,1.8,1.4,0.3,3.3,8.1,14,3,27,119
Johnny Mundt,TE,JAX,1.4,1.6,0.7,3.3,8.9,13,6,30,120
David Martin-Robinson,TE,TEN,1.7,1.7,0.4,4.4,7.4,13,3,33,121
Pharaoh Brown,TE,ARI,1.5,0.8,0.5,1.9,8.0,12,4,16,122
Durham Smythe,TE,CHI,1.4,1.6,1.0,2.9,8.2,12,8,24,123
Charlie Woerner,TE,ATL,1.3,1.5,0.7,2.9,8.9,12,6,26,124
Brayden Willis,TE,SF,2.0,1.0,0.6,3.0,6.1,12,4,18,125
Jack Stoll,TE,NO,1.2,1.0,0.5,4.1,8.9,11,4,37,126
Jack Westover,TE,NE,1.3,0.7,0.3,4.7,8.8,11,3,42,127
Anthony Firkser,TE,DET,1.2,1.7,0.4,3.7,8.7,10,3,32,129
Eric Saubert,TE,SEA,1.2,1.2,0.7,2.4,8.7,10,6,21,130
Tucker Fisk,TE,LAC,1.3,1.5,0.6,2.4,7.8,10,5,19,131
Quintin Morris,TE,JAX,1.0,1.2,0.5,2.7,8.8,9,5,24,133
Feleipe Franks,TE,ATL,1.1,0.9,0.6,3.0,7.4,8,4,22,135
Ko Kieft,TE,TB,1.5,1.1,0.2,1.6,5.4,8,1,8,136
Chris Manhertz,TE,NYG,1.0,1.2,0.4,2.4,7.3,7,3,18,137
