player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Mack Hollins,WR,NE,0.0,4.0,118.0,5.8,4.3,0.6,11.1,12.1,71,8,135,79
DJ Moore,WR,BUF,0.0,1.0,24.0,5.7,7.5,3.3,12.9,12.3,71,41,158,80
Mike Gesicki,TE,CIN,0.0,2.0,42.0,5.8,5.8,2.5,11.5,12.0,70,30,138,33
Eli Stowers,TE,PHI,1.0,2.0,54.0,6.2,5.0,1.9,12.3,11.1,69,21,137,34
Chig Okonkwo,TE,WAS,0.0,4.0,143.0,5.6,4.1,1.7,10.0,12.2,68,21,122,35
Adonai Mitchell,WR,NYJ,0.0,2.0,52.0,5.7,6.0,0.0,11.9,11.9,68,0,142,81
Shedeur Sanders,QB,CLE,0.0,5.0,144.0,11.3,9.9,-0.5,16.6,6.0,68,-3,99,42
Davis Mills,QB,HOU,0.0,3.0,67.0,11.5,10.6,-0.1,15.0,5.9,67,-1,88,43
Cedric Tillman,WR,CLE,0.0,3.0,74.0,5.4,4.3,0.0,11.5,12.4,67,0,143,82
Jalen McMillan,WR,TB,0.0,3.0,92.0,6.5,5.4,0.1,13.7,10.3,67,1,141,83
Kirk Cousins,QB,LV,0.0,4.0,102.0,10.0,10.1,-0.5,16.4,6.5,66,-4,107,44
Michael Mayer,TE,LV,0.0,2.0,35.0,5.6,5.7,1.6,10.5,11.6,65,19,122,38
Trey Benson,RB,ARI,0.0,3.0,66.0,6.2,5.0,0.0,13.2,10.4,65,0,137,53
Carson Wentz,QB,MIN,0.0,1.0,2.0,11.1,10.2,0.2,17.4,5.7,64,1,100,45
Ryan Flournoy,WR,DAL,0.0,6.0,216.0,5.1,5.1,0.0,11.0,12.3,63,0,135,84
Darnell Washington,TE,PIT,0.0,3.0,93.0,5.0,4.6,0.8,9.7,12.6,62,10,122,39
Jack Bech,WR,LV,0.0,2.0,58.0,5.2,5.2,0.0,10.8,11.8,62,0,128,85
Drew Lock,QB,SEA,0.0,2.0,42.0,9.7,6.0,-2.2,13.2,6.3,61,-14,83,46
Ollie Gordon II,RB,MIA,0.0,6.0,179.0,4.5,2.5,0.0,10.1,13.6,61,0,137,54
Tez Johnson,WR,TB,0.0,7.0,235.0,5.1,5.2,0.2,10.5,11.8,60,2,123,87
Darius Slayton,WR,NYG,0.0,5.0,171.0,5.0,4.0,0.3,10.4,11.9,59,3,125,88
Dawson Knox,TE,BUF,0.0,3.0,96.0,5.0,4.6,1.7,10.4,11.8,59,20,122,40
Brian Robinson,RB,ATL,0.0,3.0,98.0,5.3,4.0,0.0,13.2,11.1,59,0,146,55
Xavier Hutchinson,WR,HOU,0.0,6.0,205.0,4.5,4.6,0.0,9.8,13.1,59,0,129,89
Marlin Klein,TE,HOU,1.0,2.0,59.0,6.3,4.9,0.4,12.1,9.4,59,4,114,41
Andrei Iosivas,WR,CIN,0.0,6.0,206.0,4.9,4.9,0.1,10.8,11.9,58,1,128,90
Devaughn Vele,WR,NO,0.0,7.0,235.0,6.0,4.1,0.0,11.4,9.8,58,0,112,91
Jalen Coker,WR,CAR,0.0,,,5.9,4.4,0.0,11.3,9.9,58,0,111,92
Malachi Fields,WR,NYG,1.0,3.0,74.0,6.0,4.3,0.0,12.2,9.6,58,0,118,93
David Njoku,TE,LAC,0.0,1.0,29.0,5.0,7.3,1.7,11.8,11.5,57,20,136,42
Malik Washington,WR,MIA,0.0,6.0,184.0,4.2,4.1,0.5,10.3,13.3,56,6,138,94
Savion Williams,WR,GB,0.0,3.0,87.0,4.9,3.0,0.0,10.9,11.5,56,0,126,95
Zachariah Branch,WR,ATL,1.0,3.0,79.0,5.0,3.9,0.0,12.1,11.1,56,0,135,96
Caleb Douglas,WR,MIA,1.0,3.0,75.0,5.7,3.8,0.0,13.1,9.7,56,0,127,97
Greg Dulcich,TE,MIA,0.0,3.0,80.0,5.7,4.7,0.3,10.6,9.7,55,3,103,43
Luke Musgrave,TE,GB,0.0,2.0,42.0,4.9,4.2,0.0,8.9,11.4,55,0,101,44
Spencer Rattler,QB,NO,0.0,5.0,150.0,8.3,5.1,-2.2,15.7,6.5,55,-14,103,47
Max Klare,TE,LAR,1.0,2.0,61.0,6.8,4.5,0.0,12.3,8.1,55,0,99,45
Marquise Brown,WR,PHI,0.0,1.0,25.0,4.4,4.4,0.0,12.3,12.4,54,0,153,98
Josh Palmer,WR,BUF,0.0,3.0,77.0,4.8,4.2,0.5,10.5,11.3,54,5,119,99
Devin Neal,RB,NO,0.0,6.0,184.0,5.4,3.6,0.0,12.6,10.0,54,0,125,56
Noah Fant,TE,NO,0.0,1.0,20.0,4.9,4.6,0.0,11.1,10.8,53,0,120,46
Isaiah Davis,RB,NYJ,0.0,5.0,173.0,4.3,4.0,0.0,9.7,12.3,53,0,120,57
Kyle Williams,WR,NE,0.0,3.0,69.0,4.5,5.2,0.0,10.8,11.8,53,0,128,100
Antonio Williams,WR,WAS,1.0,3.0,71.0,5.2,3.1,0.0,12.6,10.2,53,0,129,101
Michael Carter,RB,TEN,0.0,4.0,107.0,4.2,3.5,0.0,12.5,11.9,51,0,149,58
Jake Tonges,TE,SF,0.0,,,5.1,4.9,1.0,10.3,9.9,51,9,102,47
Sean Tucker,RB,TB,0.0,,,4.2,4.2,-2.8,10.8,12.2,51,-34,132,59
Harrison Mevis,K,LAR,,,,6.4,6.5,4.0,9.5,8.0,51,32,76,41
Elijah Higgins,TE,ARI,0.0,6.0,197.0,3.8,2.7,0.0,7.8,13.1,50,0,102,48
Ja'Tavion Sanders,TE,CAR,0.0,4.0,101.0,4.4,3.9,1.1,8.0,11.4,50,13,91,49
Jackson Hawes,TE,BUF,0.0,5.0,173.0,4.6,3.4,0.3,8.3,11.0,50,3,91,50
Rashod Bateman,WR,BAL,0.0,1.0,27.0,4.0,6.6,0.9,11.9,12.2,49,11,145,103
Darnell Mooney,WR,NYG,0.0,5.0,173.0,4.3,4.1,0.0,11.3,11.3,48,0,128,104
Tyrell Shavers,WR,BUF,0.0,,,4.7,5.7,0.0,11.2,10.3,48,0,115,105
Nate Boerkircher,TE,JAX,1.0,2.0,56.0,5.6,4.7,0.4,11.8,8.6,48,3,101,51
Tyler Allgeier,RB,ARI,0.0,5.0,151.0,4.0,2.9,-2.8,12.2,11.3,46,-32,138,60
Tyquan Thornton,WR,KC,0.0,2.0,50.0,4.3,4.3,0.0,11.5,10.7,46,0,124,107
Malik Willis,QB,MIA,0.0,3.0,86.0,8.4,8.5,-0.5,15.0,5.5,46,-3,83,48
Tommy Tremble,TE,CAR,0.0,3.0,83.0,3.7,3.4,0.4,7.2,12.0,45,5,87,52
Ty Johnson,RB,BUF,0.0,6.0,186.0,3.6,3.1,0.0,9.2,12.2,44,0,112,62
Jawhar Jordan,RB,HOU,0.0,6.0,205.0,4.6,3.9,-2.8,14.3,9.5,44,-27,136,63
Tory Horton,WR,SEA,0.0,5.0,166.0,4.0,3.9,0.0,12.8,10.9,44,0,140,108
Terrance Ferguson,TE,LAR,0.0,2.0,46.0,4.8,5.0,0.0,10.4,9.1,44,0,94,53
Albert Okwuegbunam,TE,LV,0.0,4.0,118.0,5.1,5.2,0.0,11.9,8.4,43,0,100,54
KaVontae Turpin,WR,DAL,0.0,,,3.7,4.0,0.0,8.6,11.8,43,0,102,109
Luke McCaffrey,WR,WAS,0.0,3.0,100.0,4.2,4.0,-0.2,10.6,10.2,43,-2,108,110
Dillon Gabriel,QB,CLE,0.0,3.0,94.0,4.2,4.2,-2.1,13.4,10.3,43,-22,138,49
Noah Gray,TE,KC,0.0,5.0,162.0,3.5,2.7,0.0,6.9,11.8,42,0,82,55
Bam Knight,RB,ARI,0.0,,,4.7,3.0,-2.8,13.2,8.9,42,-25,118,64
Tank Bigsby,RB,PHI,0.0,3.0,88.0,3.5,4.7,0.0,10.4,11.8,42,0,123,65
Roman Wilson,WR,PIT,0.0,3.0,84.0,3.8,5.1,0.0,11.3,11.0,42,0,123,111
Mitchell Evans,TE,CAR,0.0,5.0,163.0,3.7,2.4,1.0,6.0,11.3,42,12,68,56
Justice Hill,RB,BAL,0.0,4.0,113.0,3.8,3.5,0.2,10.9,10.8,41,2,118,66
Isaiah Likely,TE,NYG,0.0,4.0,139.0,4.0,4.0,0.0,7.3,10.3,41,0,75,57
Brashard Smith,RB,KC,0.0,7.0,228.0,3.3,1.5,0.3,9.4,12.3,41,3,116,67
Colby Parkinson,TE,LAR,0.0,4.0,133.0,4.1,4.2,0.0,10.1,9.8,40,0,99,58
Luke Schoonmaker,TE,DAL,0.0,2.0,58.0,3.5,3.1,0.0,6.5,11.3,40,0,74,59
Trevor Etienne,RB,CAR,0.0,4.0,114.0,2.9,1.5,-2.8,7.8,13.3,39,-37,104,68
Sam Roush,TE,CHI,1.0,3.0,69.0,4.4,4.1,1.0,10.0,8.7,39,9,87,60
Dontayvion Wicks,WR,PHI,0.0,5.0,159.0,3.6,3.8,0.0,10.9,10.5,38,0,115,112
Jaylin Lane,WR,WAS,0.0,4.0,128.0,2.8,2.0,0.0,8.1,13.3,38,0,108,113
Oscar Delp,TE,NO,1.0,3.0,73.0,5.0,4.1,0.0,10.1,7.5,37,0,76,61
Daniel Bellinger,TE,TEN,0.0,4.0,112.0,3.8,2.9,0.0,6.1,9.4,36,0,57,62
Audric Estimé,RB,NO,0.0,5.0,147.0,3.4,3.9,0.0,12.6,10.5,36,0,132,70
Kaleb Johnson,RB,PIT,0.0,3.0,83.0,3.9,1.4,-2.8,10.2,8.9,35,-25,91,71
Drew Allar,QB,PIT,1.0,3.0,76.0,4.3,2.0,-1.9,13.2,8.1,35,-16,106,50
Ja'Kobi Lane,WR,BAL,1.0,3.0,80.0,4.0,2.6,0.0,11.7,8.9,35,0,103,115
Elijah Raridon,TE,NE,1.0,3.0,95.0,4.1,3.7,0.0,9.2,8.6,35,0,79,63
Olamide Zaccheaus,WR,ATL,0.0,,,3.2,3.8,-0.0,9.9,10.7,34,0,106,116
Isiah Pacheco,RB,DET,0.0,7.0,251.0,4.1,3.2,-0.0,10.6,8.3,34,0,88,74
Austin Hooper,TE,ATL,0.0,3.0,81.0,3.0,3.0,0.0,8.3,11.0,33,0,92,64
Adam Trautman,TE,DEN,0.0,3.0,105.0,2.8,2.9,0.0,6.1,11.9,33,0,72,65
Jalen Nailor,WR,LV,0.0,6.0,191.0,3.1,3.9,0.0,10.7,10.8,33,0,115,117
Theo Wease Jr.,WR,MIA,0.0,,,4.9,4.1,-2.8,12.9,6.7,33,-18,86,118
Andy Dalton,QB,PHI,0.0,2.0,35.0,6.7,5.3,-2.2,13.8,4.7,32,-10,65,51
Tyler Higbee,TE,LAR,0.0,4.0,110.0,3.7,3.7,0.0,6.4,8.6,32,0,55,66
John Metchie III,WR,CAR,0.0,2.0,44.0,3.3,4.3,0.0,11.7,9.5,32,0,110,119
Jerome Ford,RB,WAS,0.0,5.0,156.0,3.6,2.1,-0.2,9.5,8.6,31,-2,81,75
Jalen Tolbert,WR,MIA,0.0,3.0,88.0,3.4,2.1,0.0,10.4,9.1,31,0,95,120
Keaton Mitchell,RB,LAC,0.0,,,4.0,0.9,-2.8,8.4,7.7,31,-21,65,76
Kendre Miller,RB,NO,0.0,3.0,71.0,5.0,3.3,-0.2,10.1,6.2,31,-1,62,77
Samaje Perine,RB,CIN,0.0,4.0,114.0,2.7,3.3,0.0,8.1,10.8,30,0,88,78
Jeremy McNichols,RB,WAS,0.0,5.0,162.0,2.7,2.7,-2.8,7.5,10.9,30,-31,82,79
Brock Wright,TE,DET,0.0,,,3.0,3.3,0.0,5.1,10.1,30,0,51,67
Jelani Woods,TE,NYJ,0.0,3.0,73.0,3.0,1.9,-0.3,6.7,10.2,30,-4,68,68
Jeremy Ruckert,TE,NYJ,0.0,3.0,101.0,3.0,2.7,0.0,7.3,10.0,30,0,73,69
Jonah Coleman,RB,DEN,1.0,4.0,108.0,3.2,2.5,-2.8,10.8,9.0,29,-25,97,80
Zavion Thomas,WR,CHI,1.0,3.0,89.0,3.1,3.1,-1.5,11.6,9.3,29,-14,108,122
Isaiah Bond,WR,CLE,0.0,,,2.5,1.6,0.0,7.4,11.4,28,0,84,123
Mike Washington Jr.,RB,LV,1.0,4.0,122.0,2.9,1.2,-2.8,11.6,9.5,28,-27,110,81
Josh Oliver,TE,MIN,0.0,3.0,69.0,2.7,3.0,0.0,8.2,10.2,27,0,84,70
Mitchell Tinsley,WR,CIN,0.0,,,3.0,1.3,-1.2,9.7,8.9,27,-10,86,124
Ray Davis,RB,BUF,0.0,4.0,128.0,2.1,1.7,0.0,8.3,12.9,27,0,107,82
Ben Sinnott,TE,WAS,0.0,2.0,53.0,2.9,3.2,0.0,8.3,9.3,27,0,77,71
Chris Bell,WR,MIA,1.0,3.0,94.0,3.7,2.4,-2.6,11.9,7.3,27,-19,87,125
Christian Kirk,WR,SF,0.0,2.0,47.0,2.8,3.4,0.0,10.5,9.2,26,0,97,126
Hunter Long,TE,JAX,0.0,3.0,81.0,3.4,3.6,0.0,7.6,7.7,26,0,58,72
Emanuel Wilson,RB,SEA,0.0,,,2.6,2.8,-2.8,9.8,9.9,26,-28,97,84
Cade Stover,TE,HOU,0.0,4.0,123.0,2.9,2.2,0.0,5.8,9.2,26,0,54,73
Kevin Austin Jr.,WR,NO,0.0,,,3.4,3.2,-2.5,8.6,7.2,25,-18,62,128
Raheim Sanders,RB,CLE,0.0,,,3.7,2.0,-2.8,8.3,6.9,25,-19,57,85
Malik Davis,RB,DAL,0.0,,,2.8,2.2,-2.8,9.5,8.7,24,-24,83,86
Josh Whyle,TE,GB,0.0,5.0,147.0,2.6,1.9,-0.3,5.8,9.1,24,-3,53,74
Jaylen Wright,RB,MIA,0.0,4.0,120.0,2.5,3.8,-2.8,11.2,9.4,24,-26,105,87
Jaret Patterson,RB,LAC,0.0,,,2.9,1.6,-2.8,8.9,7.9,23,-22,70,88
Emmett Johnson,RB,KC,1.0,5.0,161.0,2.6,0.8,-2.8,10.1,8.9,23,-25,90,89
Kaden Wetjen,WR,PIT,1.0,4.0,121.0,2.3,0.8,-2.8,9.3,10.0,23,-28,93,130
Demarcus Robinson,WR,SF,0.0,4.0,126.0,2.1,1.9,0.0,9.2,10.5,22,0,97,131
Isaiah Hodgins,WR,NYG,0.0,6.0,207.0,2.5,2.5,0.0,7.9,9.0,22,0,71,133
Calvin Austin III,WR,NYG,0.0,4.0,138.0,2.0,3.3,0.0,9.8,11.4,22,0,111,134
Kyle Juszczyk,RB,SF,0.0,4.0,130.0,1.8,1.4,0.0,5.8,11.3,21,0,66,90
Charlie Kolar,TE,LAC,0.0,4.0,128.0,2.3,1.8,-0.3,6.2,9.1,21,-3,56,76
Zavier Scott,RB,MIN,0.0,,,2.2,1.3,-2.8,8.4,9.5,21,-26,80,91
Davis Allen,TE,LAR,0.0,5.0,175.0,2.9,3.0,-0.3,7.8,7.3,21,-3,57,77
Zach Wilson,QB,NO,0.0,1.0,2.0,4.3,2.5,-1.5,13.5,4.8,20,-7,64,53
Treylon Burks,WR,WAS,0.0,1.0,18.0,2.2,3.1,-1.6,10.7,8.9,20,-15,95,137
Brenen Thompson,WR,LAC,1.0,4.0,105.0,1.9,2.3,-2.8,10.7,10.6,20,-29,113,138
Shedrick Jackson,WR,LV,0.0,,,3.3,2.4,-2.8,9.8,5.7,19,-16,56,140
Kendrick Bourne,WR,ARI,0.0,,,2.0,1.8,-1.0,10.0,9.0,18,-9,90,141
Tim Patrick,WR,NYJ,0.0,,,2.4,3.1,-2.8,8.8,7.5,18,-21,66,142
Jaleel McLaughlin,RB,DEN,0.0,,,1.9,1.7,-2.8,6.2,9.3,18,-26,58,92
Jonathan Mingo,WR,DAL,0.0,2.0,39.0,2.0,1.1,-2.8,9.2,8.7,18,-24,80,143
Ameer Abdullah,RB,JAX,0.0,2.0,54.0,1.7,2.9,-2.8,9.2,10.0,17,-28,92,93
Tanner Hudson,TE,CIN,0.0,,,2.3,2.5,-0.1,5.6,7.4,17,0,42,78
Brittain Brown,RB,CHI,0.0,7.0,250.0,2.9,2.0,-2.8,10.8,5.9,17,-17,64,94
Emari Demercado,RB,KC,0.0,,,2.0,1.5,-2.8,8.9,8.6,17,-24,77,95
JuJu Smith-Schuster,WR,NYG,0.0,2.0,62.0,1.6,1.1,-2.4,10.0,10.5,16,-25,105,144
Devin Culp,TE,TB,0.0,7.0,246.0,2.3,3.3,-0.2,5.8,7.2,16,-2,42,79
Dont'e Thornton Jr.,WR,LV,0.0,4.0,108.0,1.6,1.6,-2.8,7.7,10.4,16,-29,80,145
Mason Rudolph,QB,PIT,0.0,3.0,76.0,3.4,2.4,-2.2,14.2,4.4,15,-10,62,54
Drew Sample,TE,CIN,0.0,2.0,52.0,1.7,1.9,-0.2,5.8,9.1,15,-2,53,80
Van Jefferson,WR,WAS,0.0,2.0,57.0,1.7,1.9,-0.5,10.0,8.9,15,-4,89,146
Isaiah Williams,WR,NYJ,0.0,,,1.4,0.5,-2.8,7.2,10.6,15,-29,76,147
Trey Lance,QB,LAC,0.0,1.0,3.0,2.8,2.5,-1.9,13.6,5.2,14,-10,71,55
Tyler Badie,RB,DEN,0.0,6.0,196.0,1.3,0.6,-2.8,5.3,10.7,14,-30,57,96
Cameron Latu,TE,PHI,0.0,3.0,101.0,1.6,0.0,-0.3,6.2,8.4,14,-3,52,82
Chris Rodriguez Jr.,RB,JAX,0.0,6.0,193.0,1.9,2.9,-2.8,10.1,7.4,14,-21,75,97
Kevin Coleman,WR,MIA,1.0,5.0,177.0,1.4,0.3,-2.8,9.4,9.8,14,-27,93,148
Riley Nowakowski,TE,PIT,1.0,5.0,169.0,2.0,1.0,-0.3,6.2,6.8,14,-2,42,83
Tyler Johnson,WR,DAL,0.0,5.0,161.0,1.9,1.3,-2.8,7.7,7.0,13,-19,53,149
Dyami Brown,WR,WAS,0.0,3.0,82.0,1.3,1.4,-0.4,10.0,9.7,13,-4,97,150
Isaac Guerendo,RB,SF,0.0,4.0,129.0,1.6,0.4,-2.8,6.0,8.5,13,-24,51,98
LeQuint Allen Jr.,RB,JAX,0.0,7.0,236.0,1.1,0.0,-2.8,6.1,11.7,13,-33,71,99
Elijah Moore,WR,PHI,0.0,2.0,34.0,1.4,2.0,-1.6,9.4,8.9,12,-14,84,151
Jahan Dotson,WR,ATL,0.0,1.0,16.0,1.2,1.2,-2.8,10.8,9.7,12,-27,105,152
Jared Wayne,WR,HOU,0.0,,,2.1,0.0,-2.8,8.6,5.5,12,-15,47,153
Malachi Corley,WR,CLE,0.0,3.0,65.0,1.2,0.4,-2.8,5.5,9.8,12,-27,54,154
Tahj Brooks,RB,CIN,0.0,6.0,193.0,1.1,0.5,-2.8,7.8,11.1,12,-31,86,100
Justin Joly,TE,DEN,1.0,5.0,152.0,1.8,0.3,-0.3,7.8,6.5,12,-2,51,84
Noah Whittington,RB,HOU,1.0,,,1.9,0.0,-2.8,9.2,6.2,12,-17,57,101
Lil'Jordan Humphrey,WR,DEN,0.0,,,1.4,1.9,-0.4,7.3,7.7,11,-3,56,156
Shane Zylstra,TE,BUF,0.0,,,2.0,1.6,-0.3,5.0,5.6,11,-2,28,85
Tutu Atwell,WR,MIA,0.0,2.0,57.0,1.2,1.1,-1.2,10.8,9.2,11,-11,99,157
Hunter Luepke,RB,DAL,0.0,,,1.1,0.6,-2.8,5.7,10.0,11,-28,57,102
Xavier Restrepo,WR,TEN,0.0,,,1.8,0.0,-2.8,7.4,6.0,11,-17,44,158
Corey Kiner,RB,ARI,0.0,,,1.6,0.0,-2.8,7.0,7.1,11,-20,50,103
Seth McGowan,RB,IND,1.0,7.0,237.0,2.2,0.2,-2.8,7.7,5.1,11,-14,39,104
Chase Roberts,WR,LV,1.0,,,2.3,0.0,-2.8,9.1,5.0,11,-14,45,159
Bauer Sharp,TE,TB,1.0,6.0,185.0,1.5,0.0,-0.3,6.5,7.1,11,-2,47,86
AJ Dillon,RB,CAR,0.0,2.0,62.0,1.4,1.0,-2.8,5.8,6.8,10,-19,39,105
James Mitchell,TE,CAR,0.0,5.0,177.0,1.7,0.7,-0.3,4.7,5.8,10,-2,27,87
Kenny Pickett,QB,CAR,0.0,1.0,20.0,2.8,1.0,-2.2,14.2,3.5,10,-8,51,56
Chris Brooks,RB,GB,0.0,,,1.0,0.0,-2.8,6.0,10.4,10,-29,62,106
Demond Claiborne,RB,MIN,1.0,6.0,198.0,1.2,0.0,-2.8,8.9,8.0,10,-22,71,107
Jaren Kanak,TE,TEN,1.0,7.0,225.0,2.0,0.0,-0.3,8.2,4.7,10,-2,39,88
Tanner Koziol,TE,JAX,1.0,5.0,164.0,1.6,0.0,-0.3,7.0,6.5,10,-2,45,89
Colbie Young,WR,CIN,1.0,4.0,140.0,1.4,0.2,-2.8,7.8,7.1,10,-20,55,161
Mitchell Trubisky,QB,TEN,0.0,1.0,2.0,4.7,-0.2,-2.2,14.7,1.9,9,-4,28,57
Marquez Valdes-Scantling,WR,DAL,0.0,5.0,174.0,1.6,0.5,-2.8,5.7,5.7,9,-16,33,162
David Sills,WR,TB,0.0,,,1.5,0.3,-2.8,8.6,6.2,9,-17,53,163
Nick Westbrook-Ikhine,WR,IND,0.0,,,1.2,1.0,-2.8,5.7,7.7,9,-22,44,164
Kylen Granson,TE,TEN,0.0,4.0,127.0,1.3,0.0,-0.3,3.2,7.1,9,-2,23,90
Connor Heyward,RB,LV,0.0,6.0,208.0,1.2,0.0,-2.8,3.2,7.2,9,-20,23,108
Brevyn Spann-Ford,TE,DAL,0.0,,,0.8,0.4,-0.3,4.6,11.5,9,-4,53,91
Tip Reiman,TE,ARI,0.0,3.0,82.0,1.0,0.0,-0.3,4.7,9.3,9,-3,44,92
Moliki Matavao,TE,NO,0.0,7.0,248.0,1.6,0.0,-0.3,4.3,5.7,9,-2,25,93
Jaydon Blue,RB,DAL,0.0,5.0,149.0,1.5,0.3,-2.8,7.4,6.1,9,-17,45,109
John Bates,TE,WAS,0.0,4.0,124.0,0.8,0.4,-0.2,3.6,9.7,8,-2,35,94
Luke Farrell,TE,SF,0.0,5.0,145.0,0.8,0.0,-0.1,3.6,9.2,8,0,33,95
Will Mallory,TE,IND,0.0,5.0,162.0,1.3,0.0,-0.3,4.8,6.6,8,-2,32,96
Kendall Milton,RB,CIN,0.0,,,1.4,0.1,-2.8,8.4,5.4,8,-15,46,110
Konata Mumpfield,WR,LAR,0.0,7.0,242.0,1.3,0.1,-2.8,6.5,6.0,8,-17,39,166
Foster Moreau,TE,HOU,0.0,4.0,137.0,1.2,0.8,-0.3,3.7,6.1,7,-2,23,97
Lucas Krull,TE,DEN,0.0,,,1.1,0.8,-0.3,4.3,6.1,7,-2,26,98
Casey Washington,WR,ATL,0.0,6.0,187.0,0.9,0.0,-2.8,4.1,7.3,7,-20,30,169
Devontez Walker,WR,BAL,0.0,4.0,113.0,1.0,1.3,-2.7,7.1,7.0,7,-19,50,170
Braelon Allen,RB,NYJ,0.0,4.0,134.0,1.1,1.2,-2.8,9.2,6.4,7,-18,59,111
Amar Johnson,RB,LAC,0.0,,,1.0,0.0,-2.8,5.5,6.3,7,-18,34,112
Tai Felton,WR,MIN,0.0,3.0,102.0,0.7,0.0,-2.8,7.7,9.6,7,-27,73,171
Jordan Watkins,WR,SF,0.0,4.0,138.0,0.9,0.0,-2.8,6.6,7.9,7,-22,52,172
Skyler Bell,WR,BUF,1.0,4.0,125.0,0.8,0.0,-2.8,7.6,9.2,7,-26,70,173
Matthew Hibner,TE,BAL,1.0,4.0,133.0,1.1,0.2,-0.3,5.0,6.6,7,-2,33,99
Cade Klubnik,QB,NYJ,1.0,4.0,110.0,1.0,0.7,-2.2,11.4,6.9,7,-15,79,58
Elijah Sarratt,WR,BAL,1.0,4.0,115.0,1.3,0.5,-2.5,10.0,5.9,7,-15,59,174
Ian Thomas,TE,LV,0.0,4.0,101.0,0.8,0.0,-0.3,4.6,7.5,6,-2,35,100
Nate Adkins,TE,DEN,0.0,,,0.8,0.6,-0.3,4.2,7.5,6,-3,31,101
Roschon Johnson,RB,CHI,0.0,4.0,115.0,0.8,1.0,-2.8,7.2,7.6,6,-21,54,113
Myles Price,WR,MIN,0.0,,,0.4,0.0,-2.8,5.8,13.0,6,-36,76,175
CJ Daniels,WR,LAR,1.0,6.0,197.0,1.2,-0.8,-2.8,8.3,5.6,6,-15,46,176
Robert Henry Jr.,RB,WAS,1.0,,,0.9,0.0,-2.8,8.2,6.5,6,-18,54,114
Nicholas Singleton,RB,TEN,1.0,5.0,165.0,1.2,0.0,-2.8,8.4,5.5,6,-16,46,115
Grant Calcaterra,TE,PHI,0.0,6.0,198.0,0.5,0.8,-0.3,4.1,8.4,5,-3,35,102
Stone Smartt,TE,PHI,0.0,,,1.0,1.1,-0.3,4.9,5.6,5,-2,27,103
Evan Hull,RB,HOU,0.0,5.0,176.0,1.0,0.0,-2.8,8.1,4.3,5,-12,35,117
Jalen Brooks,WR,ARI,0.0,7.0,244.0,0.8,0.0,-2.8,4.2,6.4,5,-18,27,177
Quinn Ewers,QB,MIA,0.0,7.0,231.0,0.9,1.0,-2.2,12.5,5.6,5,-12,71,59
Ulysses Bentley IV,RB,IND,0.0,,,1.0,0.1,-2.8,6.8,5.2,5,-15,35,118
Nate Carter,RB,ATL,0.0,,,1.0,0.0,-2.8,7.3,5.7,5,-16,42,119
Jalen Royals,WR,KC,0.0,4.0,133.0,0.6,0.0,-2.8,6.6,8.0,5,-22,53,178
Vinny Anthony II,WR,ATL,1.0,,,0.7,0.0,-2.8,8.3,6.2,5,-17,52,179
CJ Donaldson,RB,NO,1.0,,,1.3,0.0,-2.8,8.7,4.0,5,-11,35,120
Adam Randall,RB,BAL,1.0,5.0,174.0,0.8,0.0,-2.8,8.2,6.5,5,-18,53,121
Eric Rivers,WR,TB,1.0,,,0.7,0.0,-2.8,8.3,6.8,5,-19,57,180
Joe Royer,TE,CLE,1.0,5.0,170.0,1.1,0.0,-0.3,5.2,4.7,5,-2,24,104
Harrison Wallace,WR,ARI,1.0,,,0.9,0.0,-2.8,7.9,5.1,5,-14,40,181
Laquon Treadwell,WR,IND,0.0,1.0,23.0,0.6,2.1,-2.8,10.9,6.3,4,-18,69,182
Tyler Conklin,TE,DET,0.0,5.0,157.0,0.7,0.0,-0.3,4.7,5.5,4,-2,26,105
Gardner Minshew,QB,ARI,0.0,6.0,178.0,1.2,-0.4,-2.2,11.3,3.5,4,-8,40,60
Austin Trammell,WR,JAX,0.0,,,0.6,0.9,-2.8,3.6,6.7,4,-19,24,183
Tanner Conner,TE,NYG,0.0,,,0.7,0.0,-0.3,3.9,5.3,4,-2,20,106
Adrian Martinez,QB,SF,0.0,,,1.0,-0.0,-2.2,10.7,3.9,4,-9,42,61
Jordan Whittington,WR,LAR,0.0,6.0,213.0,0.6,1.9,-2.8,5.6,7.4,4,-20,42,184
Rasheen Ali,RB,BAL,0.0,5.0,165.0,0.4,0.0,-2.8,3.2,9.3,4,-26,30,123
Jared Wiley,TE,KC,0.0,4.0,131.0,0.7,0.2,-0.3,4.1,5.4,4,-2,22,107
DJ Giddens,RB,IND,0.0,5.0,151.0,0.6,0.0,-2.8,5.9,7.5,4,-21,44,124
Jahdae Walker,WR,CHI,0.0,,,0.7,0.0,-2.8,6.6,5.9,4,-16,39,185
Jacoby Jones,WR,WAS,0.0,,,0.8,0.0,-2.8,6.1,4.3,4,-12,26,186
Brady Cook,QB,NYJ,0.0,,,0.9,0.0,-2.2,10.5,4.6,4,-10,49,62
Josh Williams,RB,TB,0.0,,,0.7,0.0,-2.8,6.8,6.0,4,-17,40,125
